DATABASE_ID,GENERIC_NAME,SMILES,FORMULA,MOLECULAR_WEIGHT,EXACT_MASS,Total.Molweight,cLogP,H.Acceptors,H.Donors
DB00619,Imatinib,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,C29H31N7O,493.6027,493.2590086,493.613,3.9383,8,2
DB15133,Tepotinib,CN1CCC(COC2=CN=C(N=C2)C2=CC(CN3N=C(C=CC3=O)C3=CC(=CC=C3)C#N)=CC=C2)CC1,C29H28N6O2,492.583,492.2273742,492.581,3.1152,8,0
DB15233,Avapritinib,CN1C=C(C=N1)C1=CN2N=CN=C(N3CCN(CC3)C3=NC=C(C=N3)[C@@](C)(N)C3=CC=C(F)C=C3)C2=C1,C26H27FN10,498.57,498.2404191,498.568,0.6155,10,1
DB09330,Osimertinib,COC1=C(NC2=NC=CC(=N2)C2=CN(C)C3=C2C=CC=C3)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)C,C28H33N7O2,499.619,499.2695733,499.617,3.4175,9,2
DB11363,Alectinib,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C3=CC=C(C=C3N1)C#N)C2=O,C30H34N4O2,482.6166,482.2681764,482.626,4.7668,6,1
DB11652,Tucatinib,CC1=CC(NC2=NC=NC3=CC=C(NC4=NC(C)(C)CO4)C=C23)=CC=C1OC1=CC2=NC=NN2C=C1,C26H24N8O2,480.532,480.202222,480.531,3.5018,10,2
DB16629,Serdexmethylphenidate,[H][C@@]1(CCCCN1C(=O)OC[N+]1=CC=CC(=C1)C(=O)N[C@@H](CO)C([O-])=O)[C@H](C(=O)OC)C1=CC=CC=C1,C25H29N3O8,499.52,499.1954649,499.518,-4.4522,10,2
DB00691,Moexipril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC(OC)=C(OC)C=C2C[C@H]1C(O)=O,C27H34N2O7,498.5681,498.2366015,498.574,0.5584,9,2
DB01177,Idarubicin,C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C1C(O)=C1C(=O)C3=CC=CC=C3C(=O)C1=C2O)C(C)=O,C26H27NO9,497.4939,497.1685815,497.498,1.164,10,5
DB09030,Vorapaxar,[H][C@@]12C[C@]3([H])C[C@@H](CC[C@@]3([H])[C@H](\C=C\C3=CC=C(C=N3)C3=CC(F)=CC=C3)[C@]1([H])[C@@H](C)OC2=O)NC(=O)OCC,C29H33FN2O4,492.5817,492.2424358,492.589,4.7865,6,1
DB11703,Acalabrutinib,CC#CC(=O)N1CCC[C@H]1C1=NC(=C2N1C=CN=C2N)C1=CC=C(C=C1)C(=O)NC1=CC=CC=N1,C26H23N7O2,465.517,465.191323,465.516,2.6784,9,2
DB15035,Zanubrutinib,NC(=O)C1=C2NCC[C@@H](C3CCN(CC3)C(=O)C=C)N2N=C1C1=CC=C(OC2=CC=CC=C2)C=C1,C27H29N5O3,471.561,471.2270398,471.559,3.325,8,2
DB15102,Pemigatinib,CCN1C(=O)N(CC2=CN=C3NC(CN4CCOCC4)=CC3=C12)C1=C(F)C(OC)=CC(OC)=C1F,C24H27F2N5O4,487.508,487.2031107,487.505,1.8832,9,1
DB09319,Carindacillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C(=O)OC1=CC2=C(CCC2)C=C1)C1=CC=CC=C1)C(O)=O,C26H26N2O6S,494.56,494.1511577,494.566,3.4489,8,2
DB11697,Pacritinib,C(CN1CCCC1)OC1=CC=C2NC3=NC=CC(=N3)C3=CC(COC\C=C\COCC1=C2)=CC=C3,C28H32N4O3,472.589,472.2474409,472.587,4.3205,7,1
DB08882,Linagliptin,CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=C(C=CC=C3)C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1,C25H28N8O2,472.5422,472.2335222,472.551,2.0304,10,1
DB01047,Fluocinonide,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)COC(C)=O,C26H32F2O7,494.5249,494.2116098,494.529,1.6656,7,1
DB14541,Hydrocortisone cypionate,[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCC3CCCC3)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C29H42O6,486.649,486.2981391,486.646,3.8123,6,2
DB00622,Nicardipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,C26H29N3O6,479.525,479.2056357,479.531,2.672,8,1
DB06207,Silodosin,C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F,C25H32F3N3O4,495.5345,495.2344911,495.54,3.1061,7,3
DB12005,Nirogacestat,CCC[C@H](N[C@H]1CCC2=CC(F)=CC(F)=C2C1)C(=O)NC1=CN(C=N1)C(C)(C)CNCC(C)(C)C,C27H41F2N5O,489.656,489.3279173,489.653,4.3631,6,3
DB16691,Nirmatrelvir,[H][C@]12CN([C@H](C(=O)N[C@@H](C[C@]3([H])CCNC3=O)C#N)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)C(F)(F)F)C(C)(C)C,C23H32F3N5O4,499.535,499.240639,499.532,0.9782,9,3
DB11362,Selexipag,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)C1=NC(C2=CC=CC=C2)=C(N=C1)C1=CC=CC=C1,C26H32N4O4S,496.63,496.2144267,496.63,4.0083,8,1
DB08815,Lurasidone,[H][C@@]12[C@H]3CC[C@H](C3)[C@]1([H])C(=O)N(C[C@@H]1CCCC[C@H]1CN1CCN(CC1)C1=NSC3=CC=CC=C13)C2=O,C28H36N4O2S,492.676,492.2558971,492.686,3.9243,6,0
